YEAR,MO,DY,HR,WS50M,recalculated wind speeds for 140m,cut in/out wind speeds applied
2020,1,5,14,6.87,7.439101485,7.439101485
2020,1,5,15,6.95,7.525728577,7.525728577
2020,1,5,16,6.86,7.428273099,7.428273099
2020,1,5,17,6.96,7.536556963,7.536556963
2020,1,5,18,6.89,7.460758258,7.460758258
2020,1,5,19,7.01,7.590698895,7.590698895
2020,1,5,20,7.11,7.69898276,7.69898276
2020,1,5,21,7.39,8.00217758,8.00217758
2020,1,5,22,7.66,8.294544014,8.294544014
2020,1,5,23,8.09,8.760164631,8.760164631
2020,1,6,0,8.3,8.987560746,8.987560746
2020,1,6,1,8.48,9.182471702,9.182471702
2020,1,6,2,8.78,9.507323295,9.507323295
2020,1,6,3,8.97,9.713062638,9.713062638
2020,1,6,4,9.07,9.821346502,9.821346502
2020,1,6,5,9.16,9.91880198,9.91880198
2020,1,6,6,9.32,10.09205616,10.09205616
2020,1,6,7,9.45,10.23282519,10.23282519
2020,1,6,8,9.38,10.15702648,10.15702648
2020,1,6,9,9.03,9.778032956,9.778032956
2020,1,6,10,9.67,10.47104969,10.47104969
2020,1,6,11,10.5,11.36980576,11.36980576
2020,1,6,12,11.01,11.92205347,11.92205347
2020,1,6,13,11.4,12.34436054,12.34436054
2020,1,6,14,11.42,12.36601732,12.36601732
2020,1,6,15,11.33,12.26856184,12.26856184
2020,1,6,16,11.81,12.78832439,12.78832439
2020,1,6,17,11.93,12.91826502,12.91826502
2020,1,6,18,11.57,12.52844311,12.52844311
2020,1,6,19,10.49,11.35897738,11.35897738
2020,1,6,20,9.1,9.853831661,9.853831661
2020,1,6,21,8.62,9.334069112,9.334069112
2020,1,6,22,8.29,8.97673236,8.97673236
2020,1,6,23,7.34,7.948035648,7.948035648
2020,1,7,0,7.23,7.828923397,7.828923397
2020,1,7,1,6.86,7.428273099,7.428273099
2020,1,7,2,6.4,6.930167322,6.930167322
2020,1,7,3,6.42,6.951824095,6.951824095
