ALLSKY_SFC_SW_DWN (Wh/m^2),Solar Zenith Angle (Degrees) ,Solar Zenith Angle (Degrees) REMOVED IF >85º,optimiced_moving_solar_ALLSKY_SFC_SW_DWN (Wh/m^2)
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25.76,87.3,0,0
105.12,80.72,80.72,651.8692446
137.47,75.72,75.72,557.324185
146.98,72.79,72.79,496.7642171
147.14,72.2,72.2,481.3289495
128.55,74.01,74.01,466.6576981
78.26,78.04,78.04,377.6502757
34.98,83.49,83.49,308.5292105
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
13.98,87.21,0,0
42.58,80.6,80.6,260.705643
71.77,75.58,75.58,288.2005568
47.4,72.62,72.62,158.6835658
62.37,72.02,72.02,202.0506379
59.63,73.82,73.82,213.9915343
63.12,77.84,77.84,299.6547988
24.04,83.23,83.23,203.9292231
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
13.98,87.12,0,0
22.2,80.48,80.48,134.2266667
83.74,75.44,75.44,333.1030061
152.89,72.46,72.46,507.3139848
217.71,71.84,71.84,698.5236199
212.74,73.62,73.62,754.3795719
158.12,77.65,77.65,739.2829057
58.95,83.55,83.55,524.76445
8.38,89.41,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
27.6,87.02,0,0
88.58,80.34,80.34,527.8866092
121.64,75.28,75.28,478.717517
139.05,72.29,72.29,457.1016029
131.58,71.65,71.65,417.9519659
81.47,73.43,73.43,285.6726571
71.18,77.45,77.45,327.5783756
17.52,83.34,83.34,151.0639861
5.92,89.33,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
