hour,kWh per capita
0,0.586475
1,0.569525
2,0.5362125
3,0.5065541666666667
4,0.4865875
5,0.4791
6,0.4824541666666667
7,0.4934791666666667
8,0.4938041666666667
9,0.5065583333333332
10,0.5479875
11,0.5814875
12,0.595125
13,0.6079083333333332
14,0.6077375
15,0.5779
16,0.5627666666666667
17,0.5705708333333332
18,0.6336125
19,0.6740625
20,0.7016958333333332
21,0.7137291666666667
22,0.6921416666666668
23,0.6445083333333332
24,0.5846416666666668
25,0.5361875
26,0.505
27,0.4917791666666667
28,0.48835
29,0.5069666666666667
30,0.5710875
31,0.667825
32,0.7543291666666668
33,0.8200458333333334
34,0.8647666666666666
35,0.8708041666666666
36,0.8585625
37,0.8537458333333334
38,0.835375
39,0.8106083333333333
40,0.795925
41,0.7992291666666668
42,0.8482041666666666
43,0.8688458333333334
44,0.8792583333333334
45,0.8732666666666666
46,0.8218791666666666
47,0.7483416666666668
48,0.6820125
49,0.621175
50,0.5875
51,0.570775
52,0.5668
53,0.5804875
54,0.6356833333333333
55,0.7245541666666668
56,0.8100375
57,0.8721916666666666
58,0.9015166666666664
59,0.9042333333333334
60,0.8908541666666666
61,0.8815458333333334
62,0.8576
63,0.8335125
64,0.8259583333333333
65,0.834225
66,0.8764833333333334
67,0.8945375
68,0.9020958333333334
69,0.8948833333333334
70,0.8408208333333334
71,0.7677875
72,0.6971291666666668
73,0.6377541666666667
74,0.6053708333333332
75,0.5891125
76,0.5841791666666668
77,0.5955625
78,0.6484416666666668
79,0.7385708333333332
80,0.8194458333333334
81,0.8851083333333334
82,0.9178416666666664
83,0.9173125
84,0.8986333333333334
85,0.8859166666666666
86,0.855575
87,0.8292791666666666
88,0.8175875
89,0.8217041666666666
90,0.8675666666666666
91,0.8899375
92,0.8900291666666666
93,0.8812208333333333
94,0.8329583333333334
95,0.7752625
96,0.7162208333333332
97,0.6582458333333332
98,0.6144708333333332
99,0.58915
100,0.5802458333333332
101,0.5775708333333333
102,0.5902166666666668
103,0.6246
104,0.6656
105,0.7281625
106,0.7932583333333332
107,0.804475
108,0.7896
109,0.7815583333333332
110,0.7702
111,0.7436166666666668
112,0.7242416666666668
113,0.7178208333333332
114,0.760675
115,0.7723958333333332
116,0.7863291666666667
117,0.7954958333333332
118,0.7733333333333332
119,0.7360166666666668
120,0.6839875
121,0.6235125
122,0.5832625
123,0.5568291666666668
124,0.5425958333333332
125,0.5421833333333332
126,0.5466416666666667
127,0.566725
128,0.5859833333333332
129,0.6330875
130,0.68695
131,0.7075958333333332
132,0.70215
133,0.6917833333333332
134,0.6770916666666668
135,0.6454916666666668
136,0.6309166666666668
137,0.6335416666666668
138,0.6964041666666668
139,0.741625
140,0.7685625
141,0.7817625
142,0.7683875
143,0.7171416666666668
144,0.6522333333333332
145,0.602325
146,0.5709416666666668
147,0.5547166666666667
148,0.552475
149,0.5669875
150,0.618875
151,0.691175
152,0.7512958333333332
153,0.8016833333333332
154,0.8439458333333334
155,0.8584416666666667
156,0.8475625
157,0.8498916666666666
158,0.8326208333333334
159,0.8091166666666668
160,0.7954958333333332
161,0.7965458333333332
162,0.8529958333333334
163,0.891475
164,0.9175125
165,0.9106416666666665
166,0.8488875
167,0.7698708333333332
168,0.7071291666666668
169,0.6523875
170,0.6213541666666668
171,0.6055416666666668
172,0.6089708333333332
173,0.6271416666666668
174,0.6953166666666668
175,0.8192875
176,0.9133916666666664
177,0.9441708333333334
178,0.9649375
179,0.959075
180,0.9466833333333334
181,0.9380791666666665
182,0.9081833333333333
183,0.8912958333333334
184,0.8820833333333334
185,0.8853875
186,0.9360541666666664
187,0.9694958333333334
188,0.9833041666666664
189,0.9671458333333334
190,0.8959416666666666
191,0.8080291666666668
192,0.7396125
193,0.6823833333333332
194,0.6437208333333332
195,0.6320416666666668
196,0.6282708333333332
197,0.6429166666666668
198,0.7062416666666668
199,0.8270916666666666
200,0.9158083333333334
201,0.9429708333333334
202,0.9565583333333334
203,0.9471708333333334
204,0.9327166666666664
205,0.9268875
206,0.8988791666666666
207,0.8798333333333334
208,0.8757333333333334
209,0.8795708333333334
210,0.9278041666666664
211,0.9659125
212,0.9787958333333334
213,0.9608375
214,0.8854083333333334
215,0.7989083333333332
216,0.7313875
217,0.677825
218,0.6447041666666667
219,0.6301708333333332
220,0.6272541666666668
221,0.6424333333333332
222,0.708375
223,0.8323041666666666
224,0.9230208333333334
225,0.9505291666666664
226,0.9664291666666665
227,0.9574958333333334
228,0.9440291666666665
229,0.9403458333333334
230,0.9087625
231,0.8939333333333334
232,0.8899625
233,0.8949666666666666
234,0.9483833333333334
235,0.9888791666666664
236,1.0029166666666665
237,0.9840291666666664
238,0.9078833333333334
239,0.8194916666666666
